"","EC","pH","Soil_Moisture_Lab","Blue","Red","Green","NIR","SWIR1","SWIR2","NBR","NBG","NBNIR","NBSWIR1","NBSWIR2","NDVI","NDSI2","NRSWIR1","NRSWIR2","NDWI","NGSWIR1","NGSWIR2","NNIRSWIR1","NNIRSWIR2","NDSI1","SI1","SI2","SI3","SI4","SI5","SAVI","VSSI"
"NBG",0.0797972222855014,0.040257352913708,-0.435601898467461,0.847349210242823,0.676813401384863,0.603568050479472,-0.168886562705719,0.748810896879511,0.765034388043885,0.260417503162496,1,0.77652364013417,0.144949085163066,-0.384602854296799,0.765858643521759,0.639684141136116,-0.0026112827507721,-0.514685970615302,0.529528062135324,-0.554863074957609,-0.758350073771568,-0.820009317417885,-0.8072769662604,-0.707701589985692,0.649606315319108,0.654427597121702,0.769990667229106,0.467961677494747,0.25195948842626,-0.0569536551031815,-0.251058783169491
"NBNIR",0.4695242539283,0.300890759059514,-0.0629635011945396,0.886932643905119,0.865939724592127,0.823437098403716,-0.548509241882765,0.574929110544026,0.69301812348721,-0.177764358634771,0.77652364013417,1,0.488449913573166,-0.190417585357809,0.848018880211409,0.964137740073445,0.536852625076752,-0.0968469107244779,0.942494048319589,-0.11847375266018,-0.514468867003472,-0.863296341908635,-0.884000575473542,-0.840966781580637,0.852376621877763,0.854776268682301,0.887721934398168,0.198006323195728,-0.181833867457926,-0.409400285379545,-0.00588049906536161
"NBSWIR1",0.429393409302132,0.409158649013205,0.193906832579824,0.220121193841381,0.196399695144035,0.235586438194221,-0.684393988030803,-0.355766975220636,-0.190172112580487,0.0845813566642385,0.144949085163066,0.488449913573166,1,0.70830038505658,0.0839204431045583,0.433498147109958,0.858062236359782,0.683424540639672,0.5821508373524,0.741231175507008,0.425685846801779,0.00751594236688558,-0.0564700731124404,-0.196227381818028,0.212089318520105,0.212034523325565,0.210532618688345,-0.510528356885101,0.0878350090442819,-0.659753445074355,0.522928827901757
"NBSWIR2",0.0976297338066765,0.208219984123586,0.271232635184185,-0.419732470332738,-0.455213878990724,-0.389399601335207,-0.375248133523377,-0.807910952348337,-0.765580554930767,0.278423540261577,-0.384602854296799,-0.190417585357809,0.70830038505658,1,-0.54438803026301,-0.243138115308649,0.494110941118593,0.879409035327473,-0.0616094169705098,0.861259062642242,0.892689733027143,0.622636717725379,0.621707335377984,0.550977209990828,-0.43142523225936,-0.433121394239141,-0.444069640127992,-0.743578061005627,0.285095252040844,-0.456564542195903,0.62168525255276
"NDVI",0.294503100947006,0.114388219262738,-0.184640578180458,0.868387829568628,0.911825938899332,0.830350416615979,-0.24536346003987,0.798655154346203,0.846758813455415,-0.421112764430115,0.765858643521759,0.848018880211409,0.0839204431045583,-0.54438803026301,1,0.887622846332352,0.292649005918955,-0.340945550564016,0.762910518586785,-0.456352996264394,-0.763629721773618,-0.941943505983717,-0.936989367445077,-0.854660600577315,0.881968186064502,0.88788663147285,0.902764566203297,0.575452277935384,-0.428293024291508,-0.094783718979711,-0.318643556420283
"NDSI2",0.520311099790964,0.310935900043954,0.0286926493007775,0.837847788252832,0.902248866176293,0.858137554242221,-0.546470131090698,0.559372059289365,0.682939459201975,-0.429356344254016,0.639684141136116,0.964137740073445,0.433498147109958,-0.243138115308649,0.887622846332352,1,0.61655212004647,-0.0272986983735682,0.973586919909846,-0.0749981530751958,-0.487976926043245,-0.85826223419829,-0.881092882271694,-0.849256767157751,0.888058597969328,0.89080932767449,0.882436565025742,0.227754993526553,-0.432376445257266,-0.401219324545931,-0.0291319055313249
"NRSWIR1",0.558600215792817,0.429617360926496,0.350996185848323,0.259456919538246,0.394353979777942,0.42154428248585,-0.684113007851889,-0.242735166265476,-0.0683396144784074,-0.43784028965642,-0.0026112827507721,0.536852625076752,0.858062236359782,0.494110941118593,0.292649005918955,0.61655212004647,1,0.724146954355629,0.73510942210855,0.716312920183714,0.342598341026806,-0.130906492058485,-0.193287260757475,-0.324457959469113,0.405876345920681,0.406783912108502,0.332994653671332,-0.356793127301411,-0.434164357734665,-0.626121346169096,0.405537201492202
"NRSWIR2",0.270490173748124,0.270606207212217,0.447791801194368,-0.364243229612597,-0.251459766216449,-0.192324116600182,-0.445794535939117,-0.747007454378335,-0.680751170926048,-0.210989600070592,-0.514685970615302,-0.0968469107244779,0.683424540639672,0.879409035327473,-0.340945550564016,-0.0272986983735682,0.724146954355629,1,0.14182000122686,0.922487797063453,0.867148051789056,0.499501117852309,0.494061379912848,0.41642446758988,-0.229837687752311,-0.230500128810163,-0.310619071338156,-0.654325643713138,-0.203793990827703,-0.493656767890038,0.567076766435688
"NDWI",0.580915454302412,0.3976601756829,0.116183613257087,0.744249533392028,0.812289229982923,0.788279418638531,-0.672096692577868,0.382490916595322,0.532720823643562,-0.396465755238294,0.529528062135324,0.942494048319589,0.5821508373524,-0.0616094169705098,0.762910518586785,0.973586919909846,0.73510942210855,0.14182000122686,1,0.126387566795338,-0.305803452140896,-0.745739385485991,-0.777679206680959,-0.773637554291909,0.805725174406106,0.80765486182492,0.789359084420786,0.0231657501608277,-0.397391642084651,-0.543550805058705,0.142394453109053
"NGSWIR1",0.293499529638036,0.313533317335658,0.449387643401671,-0.393843388985602,-0.302358243197681,-0.220931766634272,-0.469830921775182,-0.809174396882257,-0.680725571934249,-0.0925278953185556,-0.554863074957609,-0.11847375266018,0.741231175507008,0.861259062642242,-0.456352996264394,-0.0749981530751958,0.716312920183714,0.922487797063453,0.126387566795338,1,0.875827231202516,0.564638443862279,0.502866543086772,0.320814069063434,-0.271133349727937,-0.274590422851184,-0.351768802513412,-0.757445030239187,-0.0834653120871308,-0.526564183204784,0.622863130955527
"NGSWIR2",0.0274284490141915,0.122415782209574,0.405100479812641,-0.708596877443701,-0.654216948413882,-0.571224931226985,-0.178216829654638,-0.934434397182453,-0.913279363651086,0.0788475393341522,-0.758350073771568,-0.514468867003472,0.425685846801779,0.892689733027143,-0.763629721773618,-0.487976926043245,0.342598341026806,0.867148051789056,-0.305803452140896,0.875827231202516,1,0.841290835586379,0.834368870699821,0.737528967716086,-0.623755035061231,-0.62751551639535,-0.69000141130544,-0.754536687925,0.0877376681851628,-0.290626261303972,0.55910363467117
"NNIRSWIR1",-0.271749307065151,-0.121372915100151,0.227450814869438,-0.878356084183328,-0.870731844405767,-0.792519791173547,0.26117885076006,-0.857499414995301,-0.896747628534274,0.258888643649976,-0.820009317417885,-0.863296341908635,0.00751594236688558,0.622636717725379,-0.941943505983717,-0.85826223419829,-0.130906492058485,0.499501117852309,-0.745739385485991,0.564638443862279,0.841290835586379,1,0.984214985545709,0.85836549975089,-0.842782320454402,-0.846990232091568,-0.886080182324803,-0.51801425403317,0.265395963493243,0.117717034738293,0.279633162562515
"NNIRSWIR2",-0.306014452531492,-0.140675069496297,0.205507800092596,-0.897593214826211,-0.897734727840032,-0.827836641919998,0.27774037971555,-0.838622448501894,-0.915043719756555,0.268690920928409,-0.8072769662604,-0.884000575473542,-0.0564700731124404,0.621707335377984,-0.936989367445077,-0.881092882271694,-0.193287260757475,0.494061379912848,-0.777679206680959,0.502866543086772,0.834368870699821,0.984214985545709,1,0.933518283370712,-0.873606147846513,-0.876687577868237,-0.909638987175761,-0.502598933250042,0.274566698807478,0.129933985138438,0.278532410687303
"NDSI1",-0.348746019285313,-0.191361450892574,0.163161638595521,-0.842270508174464,-0.863332752674514,-0.81613410160485,0.298701597540297,-0.706030834764126,-0.847875995903726,0.282464639621926,-0.707701589985692,-0.840966781580637,-0.196227381818028,0.550977209990828,-0.854660600577315,-0.849256767157751,-0.324457959469113,0.41642446758988,-0.773637554291909,0.320814069063434,0.737528967716086,0.85836549975089,0.933518283370712,1,-0.848103932117268,-0.850258520826246,-0.864593602344656,-0.424646095021825,0.287421608003284,0.156949262350866,0.235076105675355
"SI1",0.32790429129184,0.173293010703893,-0.0620779790399131,0.943870169726272,0.997182229216882,0.993109908307976,-0.130550203375559,0.772573791183511,0.854149323807835,-0.409753834479272,0.649606315319108,0.852376621877763,0.212089318520105,-0.43142523225936,0.881968186064502,0.888058597969328,0.405876345920681,-0.229837687752311,0.805725174406106,-0.271133349727937,-0.623755035061231,-0.842782320454402,-0.873606147846513,-0.848103932117268,1,0.999825986272688,0.984391948589913,0.583257812955916,-0.415372457713177,0.0358255377246912,-0.459507526682125
"SI2",0.326651886300022,0.17593952060395,-0.0672419422858347,0.944471145883175,0.997533820269922,0.992525936615659,-0.133818750028456,0.773773260976286,0.854402701014448,-0.411708396159028,0.654427597121702,0.854776268682301,0.212034523325565,-0.433121394239141,0.88788663147285,0.89080932767449,0.406783912108502,-0.230500128810163,0.80765486182492,-0.274590422851184,-0.62751551639535,-0.846990232091568,-0.876687577868237,-0.850258520826246,0.999825986272688,1,0.984878003757488,0.584600850969217,-0.417486683237734,0.0325758876818158,-0.45687744692273
"SI3",0.288931848568233,0.147473614811635,-0.147068250265763,0.985889215937473,0.987343621346724,0.968998683237771,-0.140215160669484,0.817694198942991,0.889841946994248,-0.27175735352444,0.769990667229106,0.887721934398168,0.210532618688345,-0.444069640127992,0.902764566203297,0.882436565025742,0.332994653671332,-0.310619071338156,0.789359084420786,-0.351768802513412,-0.69000141130544,-0.886080182324803,-0.909638987175761,-0.864593602344656,0.984391948589913,0.984878003757488,1,0.594326716589362,-0.278594011269983,0.024383892267336,-0.447544587825928
"SI4",-0.230798011589584,-0.266734346733171,-0.332064604525482,0.585121530815067,0.586532632687661,0.572996959049614,0.642786974464223,0.848057427013252,0.757265365530727,-0.208450066973408,0.467961677494747,0.198006323195728,-0.510528356885101,-0.743578061005627,0.575452277935384,0.227754993526553,-0.356793127301411,-0.654325643713138,0.0231657501608277,-0.757445030239187,-0.754536687925,-0.51801425403317,-0.502598933250042,-0.424646095021825,0.583257812955916,0.584600850969217,0.594326716589362,1,-0.218391655311513,0.749526871815732,-0.934397374083547
"SI5",-0.328578436059416,-0.107697589121325,-0.337538788592413,-0.119174739475779,-0.421754236042216,-0.402880851285395,0.118254771183191,-0.155704192863781,-0.203025956431685,0.999189175821937,0.25195948842626,-0.181833867457926,0.0878350090442819,0.285095252040844,-0.428293024291508,-0.432376445257266,-0.434164357734665,-0.203793990827703,-0.397391642084651,-0.0834653120871308,0.0877376681851628,0.265395963493243,0.274566698807478,0.287421608003284,-0.415372457713177,-0.417486683237734,-0.278594011269983,-0.218391655311513,1,0.04866470057549,0.139520039656922
"SAVI",-0.461899530141152,-0.388136240316089,-0.197913557269883,0.0369830776488507,0.0105292870767337,0.0730086813593342,0.98605854966718,0.384683549053809,0.238700935396246,0.0555946743933646,-0.0569536551031815,-0.409400285379545,-0.659753445074355,-0.456564542195903,-0.094783718979711,-0.401219324545931,-0.626121346169096,-0.493656767890038,-0.543550805058705,-0.526564183204784,-0.290626261303972,0.117717034738293,0.129933985138438,0.156949262350866,0.0358255377246912,0.0325758876818158,0.024383892267336,0.749526871815732,0.04866470057549,1,-0.901792944286386
"VSSI",0.274810289638744,0.290099481001444,0.218396465222713,-0.441637660624864,-0.440356024264582,-0.482537537621216,-0.817521981251995,-0.695582286386924,-0.596759703724786,0.130774082930033,-0.251058783169491,-0.00588049906536161,0.522928827901757,0.62168525255276,-0.318643556420283,-0.0291319055313249,0.405537201492202,0.567076766435688,0.142394453109053,0.622863130955527,0.55910363467117,0.279633162562515,0.278532410687303,0.235076105675355,-0.459507526682125,-0.45687744692273,-0.447544587825928,-0.934397374083547,0.139520039656922,-0.901792944286386,1
